tarih,plaka,marka,model,uretim_tarihi,km,parca_fiyat,iscilik_fiyat
2018-03-28,5,MERCEDES,S350,2006,85846,8322,1472
2019-02-12,2,SAAB,E200,2000,26826,9520,1001
2018-09-23,24,TOFAS,KARTAL,2009,199282,7232,885
2019-02-05,11,AUDİ,S600,2014,158187,392,842
2019-03-15,9,MERCEDES,S350,2017,9179,6647,1195
2018-02-25,1,BMW,A180,2002,32724,3756,409
2019-12-20,29,MERCEDES,S350,2017,189964,3087,1690
2019-01-20,26,TOFAS,KARTAL,2008,120584,7095,895
2019-02-22,54,BMW,S350,2013,42378,1537,1638
2018-01-06,51,AUDİ,S350,2014,22942,4759,1847
2019-12-31,53,AUDİ,A180,2002,40088,4734,440
2019-01-30,74,BMW,E200,2007,160451,8235,258
2019-04-01,33,FİAT,500L,2014,76543,7757,914
2019-04-06,25,SAAB,E200,2009,27742,500,380
2018-06-22,1,SAAB,S600,2013,41848,7838,1030
2019-08-13,59,SAAB,E200,2017,13868,4296,295
2019-07-17,51,FORD,S600,2012,76441,4179,725
2019-12-31,26,WOLKSWAGEN,S350,2004,174683,5725,1494
2018-10-25,51,MERCEDES,S600,2002,49010,9650,464
2018-04-05,75,SAAB,A180,2008,97531,9793,1839
2019-01-30,27,VOLVO,S600,2010,86243,469,834
2018-11-03,56,TESLA,E200,2006,175787,7333,1582
2018-07-30,32,TOFAS,SAHIN,2016,135634,5644,1100
2019-08-17,62,MERCEDES,E200,2008,5569,5933,1908
2019-12-10,1,FORD,E200,2016,56120,3564,1309
2019-06-15,72,FORD,S350,2004,103685,6625,993
2018-09-13,80,VOLVO,S600,2000,158381,9775,666
2018-01-05,81,BMW,E200,2011,98355,1361,1425
2018-10-26,67,TOFAS,KARTAL,2002,94210,9863,793
2018-06-22,34,FİAT,500,2010,188860,9948,1931
2018-12-14,70,BMW,S350,2002,25214,5357,1237
2018-04-29,24,MERCEDES,S600,2000,194277,8772,1095
2019-08-03,79,VOLVO,S350,2009,55781,8584,1504
2018-02-19,26,WOLKSWAGEN,A180,2006,191874,1639,1680
2019-06-01,54,TESLA,S350,2006,166540,5331,949
2019-02-10,52,FİAT,500L,2017,137695,2743,414
2019-09-29,13,FORD,S350,2004,54882,4801,680
2019-07-02,14,TESLA,S600,2014,45536,6502,1791
2019-01-07,51,VOLVO,S600,2007,180833,2014,506
2019-02-10,51,FORD,E200,2004,103247,4438,1840
2018-03-31,3,FİAT,DOBLO,2003,131085,8924,1535
2019-08-27,55,VOLVO,A180,2001,20173,2778,523
2018-11-03,49,TOFAS,DOGAN,2013,157312,9282,1213
2018-08-24,54,SAAB,S600,2000,95239,9497,682
2019-02-24,16,TOFAS,DOGAN,2010,36038,6786,959
2019-01-14,65,TOFAS,DOGAN,2013,40023,6596,1340
2019-06-02,61,FORD,A180,2005,122645,2857,1053
2018-05-01,69,WOLKSWAGEN,A180,2005,76329,4285,1101
2019-04-07,78,BMW,S350,2013,183775,203,1785
2018-05-21,17,AUDİ,S350,2007,3592,9282,1700
2019-05-30,13,WOLKSWAGEN,S600,2002,61973,8910,1275
2018-10-08,64,WOLKSWAGEN,A180,2015,74301,842,1408
2018-07-14,29,AUDİ,A180,2002,117966,127,278
2019-08-30,52,TOFAS,SAHIN,2003,19082,2658,251
2019-08-16,71,FİAT,500,2005,142168,9955,1079
2018-04-20,3,MERCEDES,A180,2009,33542,8717,1741
2019-08-23,76,AUDİ,S600,2003,138429,4961,677
2019-08-18,60,FİAT,EGEA,2006,19310,8689,1519
2018-03-05,30,SAAB,A180,2011,178812,9082,1011
2019-11-23,7,FİAT,EGEA,2010,21422,2304,527
2019-07-19,30,BMW,A180,2003,62944,8327,951
2019-05-25,33,FORD,S600,2016,103121,3420,923
2018-10-11,9,FİAT,DOBLO,2001,37706,4538,946
2018-04-28,4,BMW,A180,2017,162212,297,1086
2019-10-03,59,MERCEDES,S600,2005,60398,1715,614
2018-11-19,31,AUDİ,A180,2014,113382,3088,1612
2019-07-13,76,BMW,E200,2015,111475,9685,278
2019-01-19,39,SAAB,A180,2017,100379,8035,1270
2018-12-02,12,SAAB,E200,2008,141117,9973,952
2019-05-24,55,VOLVO,A180,2007,157370,4998,1756
2019-10-26,61,TESLA,A180,2000,60406,5763,595
2019-01-03,8,WOLKSWAGEN,E200,2003,101375,2397,1247
2018-07-25,36,WOLKSWAGEN,S600,2010,21345,6768,1091
2019-11-17,29,BMW,E200,2016,159811,9851,1817
2019-03-24,34,TESLA,E200,2005,198010,4146,1876
2019-07-13,79,MERCEDES,E200,2001,177878,5006,1979
2018-01-13,8,BMW,S600,2006,77698,1647,993
2018-03-20,29,FORD,A180,2013,122860,5847,1675
2019-11-19,80,FORD,A180,2007,58540,6626,1488
2018-12-26,31,TESLA,E200,2017,2783,7938,1734
2019-11-02,23,TOFAS,KARTAL,2016,145853,7662,780
2018-02-26,63,WOLKSWAGEN,A180,2000,169226,4753,1896
2018-08-27,8,FİAT,EGEA,2011,116055,7354,1199
2018-03-01,57,SAAB,A180,2005,80938,7963,273
2019-05-14,81,TOFAS,SAHIN,2009,68277,8012,1346
2019-10-27,71,SAAB,S600,2009,83486,6865,443
2018-10-24,13,SAAB,S600,2016,130458,6515,1858
2019-02-10,28,FORD,S350,2005,89272,602,1289
2019-06-19,61,VOLVO,E200,2002,82003,6497,1485
2018-01-07,6,FORD,S600,2012,48295,9381,1947
2018-02-05,79,VOLVO,S350,2002,169986,2201,1982
2018-09-20,44,FİAT,500L,2014,5619,1463,743
2019-09-03,73,FİAT,EGEA,2004,75980,8784,1297
2018-01-24,55,SAAB,A180,2002,141097,8701,1742
2019-07-30,23,FORD,S600,2001,92029,5104,685
2019-07-12,39,FORD,A180,2006,146923,9001,1244
2019-11-18,33,SAAB,A180,2013,50620,5134,1749
2019-08-04,56,FORD,S600,2008,129344,5647,1313
2018-11-26,2,TESLA,A180,2013,188216,3698,1870
2018-05-08,35,VOLVO,A180,2003,163816,9027,1966
2019-08-20,29,AUDİ,E200,2010,120745,5162,1774
2019-12-26,57,MERCEDES,E200,2015,84359,9324,533
2018-09-30,77,BMW,S600,2013,71662,1050,1559
2018-07-22,64,WOLKSWAGEN,S600,2004,76178,1603,976
2018-08-27,28,VOLVO,E200,2003,162458,3887,775
2019-10-11,57,VOLVO,S600,2008,49886,6781,1569
2019-03-10,48,WOLKSWAGEN,A180,2005,131777,9107,927
2018-03-31,40,FORD,S350,2010,2629,7213,1173
2018-10-11,30,FİAT,500L,2011,79089,4537,1155
2018-02-22,2,VOLVO,S350,2013,137602,1210,423
2018-03-31,50,TOFAS,KARTAL,2002,43673,4433,540
2019-03-25,32,TOFAS,SAHIN,2000,164186,2295,954
2018-03-02,18,FORD,E200,2000,103899,6360,693
2019-04-13,35,VOLVO,S600,2013,143296,1122,1781
2018-10-02,23,MERCEDES,E200,2003,22951,4601,1295
2019-01-30,28,FİAT,EGEA,2007,135439,8632,1554
2018-11-11,54,FORD,S350,2011,101375,9722,526
2019-11-18,26,TESLA,E200,2003,27470,6132,847
2018-02-02,13,VOLVO,S600,2016,124554,1770,409
2018-07-10,71,SAAB,E200,2008,68177,3285,821
2018-01-12,66,AUDİ,E200,2002,97135,8691,791
2019-07-24,29,AUDİ,A180,2000,132870,7526,1021
2018-01-30,71,MERCEDES,S350,2004,96258,8642,1083
2018-08-19,52,FİAT,500L,2007,31886,547,1155
2019-11-08,39,VOLVO,E200,2009,43338,9538,943
2018-07-07,14,SAAB,E200,2007,177816,517,1034
2019-10-09,81,MERCEDES,S600,2006,23560,7545,1360
2018-02-26,1,VOLVO,A180,2004,9449,7900,953
2019-11-26,52,AUDİ,S350,2000,164512,7194,1712
2018-10-08,36,SAAB,S350,2017,92745,5213,587
2019-10-16,63,TESLA,A180,2014,61188,1363,1998
2018-09-15,14,AUDİ,S350,2010,137277,1016,351
2019-12-08,26,VOLVO,S600,2008,20919,3949,523
2018-10-15,2,MERCEDES,S350,2008,115020,3977,406
2019-03-18,78,FİAT,500,2006,16516,8686,1719
2018-10-13,62,WOLKSWAGEN,A180,2017,156340,3670,289
2019-12-12,36,MERCEDES,E200,2012,63462,6062,1637
2019-05-28,37,TOFAS,DOGAN,2012,13406,5774,1529
2018-08-09,73,MERCEDES,S600,2014,148097,8638,1211
2019-10-20,51,TOFAS,KARTAL,2010,164117,1215,646
2019-11-26,34,MERCEDES,A180,2002,41047,6272,1171
2019-12-10,67,MERCEDES,S350,2011,5836,8683,1043
2018-06-12,36,WOLKSWAGEN,A180,2008,116889,5120,664
2018-06-09,69,VOLVO,A180,2005,199329,1504,334
2019-11-28,14,TESLA,A180,2006,131292,8897,653
2018-06-07,59,AUDİ,E200,2006,141492,2262,1453
2019-03-05,7,TOFAS,DOGAN,2014,140837,2056,813
2018-05-14,78,BMW,E200,2014,27423,6947,267
2019-11-08,62,FİAT,500L,2009,142163,3621,543
2019-05-22,58,WOLKSWAGEN,S350,2008,59899,2766,1201
2019-12-14,19,FORD,A180,2002,173842,5944,1302
2019-01-11,76,TOFAS,SAHIN,2004,108803,8035,1862
2018-05-28,44,AUDİ,A180,2011,195671,5245,285
2018-03-02,17,FORD,S600,2003,156476,4496,302
2019-12-28,63,FİAT,500L,2007,139269,2703,1302
2019-07-20,46,TOFAS,DOGAN,2011,195637,8839,1992
2018-04-02,32,FORD,E200,2017,28232,326,1503
2019-01-08,5,AUDİ,S350,2015,42512,9763,1841
2018-05-10,77,VOLVO,S350,2010,160164,1092,433
2019-06-09,30,TOFAS,KARTAL,2009,9491,878,1400
2019-04-08,37,AUDİ,A180,2006,22121,8914,1595
2018-01-12,40,TOFAS,KARTAL,2012,71655,9948,296
2019-09-14,75,MERCEDES,E200,2004,46568,9746,633
2019-01-30,1,MERCEDES,A180,2012,53899,6874,1657
2019-08-18,21,AUDİ,S350,2006,2251,9642,1422
2019-02-20,16,AUDİ,A180,2001,123116,1828,800
2019-04-13,69,MERCEDES,S600,2010,54740,1842,1673
2018-03-18,70,MERCEDES,S600,2013,131221,7737,617
2019-02-11,6,VOLVO,A180,2005,180631,170,1384
2018-11-20,56,TOFAS,KARTAL,2006,43723,9227,1733
2018-11-30,36,AUDİ,S600,2001,120401,2475,785
2018-12-25,48,BMW,A180,2015,37277,9583,1032
2019-10-01,51,FİAT,EGEA,2011,110453,5385,957
2019-12-28,38,FORD,S350,2006,35143,3664,1911
2019-09-13,21,TESLA,S350,2017,196590,8045,862
2018-01-30,19,VOLVO,S600,2010,195328,8514,802
2018-02-05,11,MERCEDES,E200,2005,96879,4730,1556
2019-01-06,69,TOFAS,KARTAL,2000,33164,5722,1895
2018-08-19,70,TOFAS,SAHIN,2003,154425,4447,863
2018-08-28,28,FİAT,EGEA,2005,68262,350,1340
2018-07-15,75,FORD,A180,2000,181134,6425,1879
2019-04-26,56,SAAB,S350,2003,127110,2137,405
2018-11-08,66,TESLA,A180,2002,109943,1407,1960
2018-01-28,37,MERCEDES,A180,2012,16029,4452,1825
2019-09-20,27,SAAB,S600,2008,171315,1956,273
2018-12-17,62,TESLA,E200,2012,78426,4762,1212
2018-01-13,28,TOFAS,SAHIN,2001,125783,9112,1707
2018-01-05,79,FORD,S350,2007,152310,2375,635
2018-08-23,21,MERCEDES,S600,2016,74756,5036,278
2019-05-13,42,FORD,E200,2010,3103,2267,1683
2019-02-04,34,BMW,A180,2017,11616,3492,1294
2019-06-26,75,MERCEDES,S350,2006,55766,1747,480
2018-12-16,35,TOFAS,SAHIN,2015,118485,3113,288
2018-06-07,42,TESLA,S350,2015,162697,1281,855
2018-04-06,6,SAAB,S350,2014,158002,5256,1634
2019-04-10,2,TOFAS,SAHIN,2015,176304,3866,1146
2018-02-21,22,AUDİ,A180,2007,171277,5126,1161
2018-08-09,47,AUDİ,S350,2003,22345,7175,553
2018-05-18,31,TOFAS,KARTAL,2011,8883,8110,366
2019-04-03,69,MERCEDES,S350,2000,160282,1444,1204
2018-11-06,80,AUDİ,A180,2012,160590,7750,1640
2018-05-12,48,BMW,E200,2007,38746,7471,1122
2018-01-07,65,AUDİ,A180,2003,32542,1251,880
2019-10-05,37,FİAT,EGEA,2008,92764,135,1946
2019-04-11,76,FİAT,EGEA,2007,86805,2338,1126
2019-10-13,57,AUDİ,S350,2014,35206,3659,1963
2018-04-16,29,BMW,E200,2015,70005,5290,744
2018-02-16,73,BMW,E200,2014,53787,9794,548
2019-07-01,68,AUDİ,S350,2008,83510,7536,1749
2019-11-21,71,FİAT,DOBLO,2004,57438,2767,1012
2018-03-29,37,VOLVO,S600,2017,163235,9588,1186
2019-01-13,54,WOLKSWAGEN,S350,2000,5641,5706,1816
2018-04-13,33,TESLA,A180,2012,99680,4398,1818
2019-10-11,60,WOLKSWAGEN,E200,2016,67767,4239,501
2019-08-17,9,FORD,E200,2002,152372,6565,1713
2018-05-17,5,FİAT,DOBLO,2004,191797,1623,480
2018-07-12,6,WOLKSWAGEN,A180,2005,5774,1702,1576
2018-07-01,25,VOLVO,S600,2007,127913,9669,801
2019-01-15,49,WOLKSWAGEN,E200,2016,53001,2030,820
2019-11-16,69,AUDİ,E200,2013,126489,4481,1041
2019-03-31,53,TOFAS,SAHIN,2002,4622,3715,1407
2019-09-09,1,SAAB,E200,2000,148741,5506,1030
2018-01-05,32,AUDİ,E200,2009,115516,5833,517
2018-05-21,20,AUDİ,S350,2016,143888,4590,1473
2018-11-23,35,BMW,S350,2009,197888,4865,281
2018-08-07,15,SAAB,A180,2009,192975,4028,1679
2019-08-07,19,TESLA,E200,2002,166018,5070,512
2018-03-03,10,FORD,S350,2003,194242,8904,854
2018-01-10,40,FİAT,500,2016,111956,9858,1990
2018-11-02,2,AUDİ,S350,2014,129188,2920,347
2019-06-25,61,FORD,E200,2012,177204,8738,875
2018-04-17,33,BMW,E200,2001,37669,133,306
2019-07-25,13,AUDİ,S600,2007,83607,4795,1241
2019-03-03,24,TOFAS,KARTAL,2009,122583,8966,1566
2018-08-21,61,TESLA,S600,2007,190694,1074,696
2018-11-03,36,WOLKSWAGEN,E200,2016,99847,4296,1562
2019-01-14,11,TOFAS,KARTAL,2005,171248,979,1614
2018-04-11,7,SAAB,S350,2016,145699,3316,1031
2019-08-02,25,WOLKSWAGEN,E200,2012,180847,8147,734
2018-09-27,62,VOLVO,S600,2016,33430,1576,1781
2018-09-20,9,BMW,S600,2008,114989,7958,1378
2019-04-27,15,SAAB,E200,2009,58638,9130,1523
2018-05-24,33,VOLVO,S600,2013,28037,691,1375
2018-03-13,9,VOLVO,S600,2005,100035,8073,1913
2019-11-22,37,BMW,S350,2005,60532,1762,1424
2019-10-06,57,VOLVO,E200,2000,26317,87,1160
2018-11-20,73,TOFAS,KARTAL,2014,173476,8551,1770
2018-07-04,55,BMW,S600,2015,70375,3043,733
2019-03-24,79,FORD,E200,2003,39087,6172,814
2019-03-30,25,BMW,A180,2010,156272,3498,722
2018-05-23,14,FORD,S350,2010,153563,1549,1530
2019-06-18,54,SAAB,S350,2002,152489,8593,1791
2019-04-07,30,AUDİ,E200,2013,179356,3939,2000
2019-05-15,10,MERCEDES,A180,2000,182030,1704,389
2019-09-19,49,FORD,A180,2010,32156,9182,1441
2018-07-21,5,WOLKSWAGEN,S600,2008,178829,4270,856
2019-02-04,28,FORD,S350,2009,65326,1430,1506
2019-02-16,31,SAAB,S350,2009,51556,2720,402
2018-11-18,21,WOLKSWAGEN,A180,2003,165339,9116,614
2019-12-29,12,WOLKSWAGEN,A180,2009,18620,6718,334
2018-02-02,52,VOLVO,S350,2003,13286,143,1709
2018-07-20,46,SAAB,S600,2002,170644,4235,1678
2018-09-16,57,BMW,A180,2010,184377,4193,1073
2018-10-24,78,WOLKSWAGEN,A180,2000,76242,2361,1947
2018-09-03,16,VOLVO,A180,2011,140689,7040,633
2018-07-13,1,AUDİ,S600,2006,63172,6784,1038
2019-04-02,11,WOLKSWAGEN,S600,2009,39479,1840,1356
2018-09-22,36,BMW,S600,2008,152733,1854,395
2019-07-07,49,VOLVO,E200,2001,155833,7283,251
